participant,iac_experience,platform_experience,pattern,time_secs,component_correctness,difficulty
16,1.0,2.0,Azure Serverless-based,565.0,0.25,3.0
17,3.0,2.0,Azure VM-based,1140.0,1.0,4.0
17,3.0,2.0,Azure Container-based,530.0,0.5,3.0
17,3.0,2.0,Azure Serverless-based,120.0,1.0,1.0
18,4.0,5.0,Azure VM-based,200.0,0.5,1.0
18,4.0,5.0,Azure Container-based,510.0,0.5,1.0
18,4.0,5.0,Azure Serverless-based,141.0,0.5,1.0
19,1.0,4.0,Azure VM-based,1573.0,1.0,4.0
19,1.0,4.0,Azure Container-based,172.0,1.0,1.0
19,1.0,4.0,Azure Serverless-based,275.0,1.0,1.0
20,4.0,5.0,Azure VM-based,383.0,0.75,3.0
20,4.0,5.0,Azure Container-based,138.0,0.75,3.0
20,4.0,5.0,Azure Serverless-based,73.0,0.75,4.0
21,2.0,4.0,AWS VM-based,101.0,0.0,1.0
21,2.0,4.0,AWS Container-based,440.0,0.3333333333333333,3.0
21,2.0,4.0,AWS Serverless-based,66.0,,1.0
22,4.0,4.0,AWS VM-based,43.0,1.0,2.0
22,4.0,4.0,AWS Container-based,110.0,1.0,2.0
22,4.0,4.0,AWS Serverless-based,133.0,,1.0
23,4.0,4.0,AWS VM-based,45.0,1.0,1.0
23,4.0,4.0,AWS Container-based,263.0,1.0,1.0
23,4.0,4.0,AWS Serverless-based,0.0,,1.0
24,4.0,4.0,AWS VM-based,52.0,1.0,1.0
24,4.0,4.0,AWS Container-based,220.0,0.3333333333333333,2.0
24,4.0,4.0,AWS Serverless-based,0.0,,1.0
25,5.0,4.0,AWS VM-based,71.0,1.0,1.0
25,5.0,4.0,AWS Container-based,210.0,0.6666666666666666,3.0
25,5.0,4.0,AWS Serverless-based,0.0,,1.0
26,2.0,3.0,AWS VM-based,49.0,1.0,1.0
26,2.0,3.0,AWS Container-based,319.0,0.3333333333333333,3.0
26,2.0,3.0,AWS Serverless-based,186.0,,1.0
27,5.0,5.0,AWS VM-based,96.0,1.0,1.0
27,5.0,5.0,AWS Container-based,651.0,0.3333333333333333,2.0
27,5.0,5.0,AWS Serverless-based,0.0,,1.0
28,3.0,4.0,AWS VM-based,53.0,1.0,1.0
28,3.0,4.0,AWS Container-based,582.0,0.3333333333333333,2.0
28,3.0,4.0,AWS Serverless-based,0.0,,1.0
29,4.0,4.0,AWS VM-based,25.0,1.0,1.0
29,4.0,4.0,AWS Container-based,314.0,0.3333333333333333,2.0
29,4.0,4.0,AWS Serverless-based,0.0,,1.0
30,5.0,5.0,AWS VM-based,107.0,1.0,1.0
30,5.0,5.0,AWS Container-based,242.0,1.0,1.0
30,5.0,5.0,AWS Serverless-based,0.0,,1.0
31,3.0,3.0,AWS VM-based,545.0,1.0,3.0
31,3.0,3.0,AWS Container-based,1580.0,0.3333333333333333,4.0
31,3.0,3.0,AWS Serverless-based,208.0,,3.0
32,3.0,4.0,AWS VM-based,83.0,1.0,1.0
32,3.0,4.0,AWS Container-based,169.0,1.0,2.0
32,3.0,4.0,AWS Serverless-based,66.0,,1.0
33,1.0,4.0,AWS VM-based,81.0,1.0,1.0
33,1.0,4.0,AWS Container-based,465.0,0.3333333333333333,3.0
33,1.0,4.0,AWS Serverless-based,0.0,,2.0
34,2.0,3.0,AWS VM-based,103.0,1.0,2.0
34,2.0,3.0,AWS Container-based,1155.0,0.0,3.0
34,2.0,3.0,AWS Serverless-based,158.0,,1.0
35,2.0,4.0,AWS VM-based,15.0,1.0,1.0
35,2.0,4.0,AWS Container-based,243.0,1.0,2.0
35,2.0,4.0,AWS Serverless-based,0.0,,1.0
36,1.0,3.0,AWS VM-based,47.0,1.0,1.0
36,1.0,3.0,AWS Container-based,618.0,0.6666666666666666,3.0
36,1.0,3.0,AWS Serverless-based,0.0,,1.0
37,4.0,4.0,AWS VM-based,40.0,1.0,1.0
37,4.0,4.0,AWS Container-based,565.0,0.3333333333333333,3.0
37,4.0,4.0,AWS Serverless-based,0.0,,2.0
38,2.0,4.0,AWS VM-based,144.0,1.0,1.0
38,2.0,4.0,AWS Container-based,378.0,0.3333333333333333,3.0
38,2.0,4.0,AWS Serverless-based,66.0,,2.0
39,2.0,4.0,AWS VM-based,42.0,0.0,1.0
39,2.0,4.0,AWS Container-based,326.0,0.3333333333333333,2.0
39,2.0,4.0,AWS Serverless-based,70.0,,1.0
40,1.0,3.0,AWS VM-based,80.0,1.0,2.0
40,1.0,3.0,AWS Container-based,200.0,0.3333333333333333,2.0
40,1.0,3.0,AWS Serverless-based,0.0,,1.0
